dL,L_b,L_d,T_bd,lambda
30.31187996422885,27.36016493034655,57.6720448945754,105,0.010245669051180786
36.59446981151335,27.109749780129956,63.70421959164331,117,0.0105348473372258
33.63562363839593,26.974263730674785,60.60988736907071,117,0.00998264598352747
21.111579766781137,30.96440647313079,52.07598623991193,66,0.01136374945883725
21.577701900134215,34.18296447869243,55.76066637882665,57,0.01238544357886684
41.69686627640456,26.168474385250295,67.86534066165486,108,0.012730047678285112
35.01420265714791,32.91988072771998,67.93408338486789,84,0.01244257697190801
25.028341185504104,42.09072683492184,67.11906802042594,54,0.012467041863909858
37.50754945895588,25.871231351470545,63.37878081042643,126,0.010259136398443072
34.90260199973563,28.94910888037937,63.851710880115,102,0.011188297425570742
26.11684280590054,26.183862836678372,52.30070564257891,111,0.008992364517852406
33.03705566702775,23.496218642070055,56.533274309097806,201,0.006301849065129415
33.580110915955785,29.640487200122873,63.220598116078655,69,0.015838051057040028
31.087303287491068,25.200113893290663,56.28741718078173,90,0.012882024397352943
24.868412413481586,27.21073671404625,52.079149127527835,81,0.011562097045066153
29.25321576103284,31.83462586915428,61.08784163018712,63,0.014925213625092403
21.644062643661297,28.720885482236195,50.36494812589749,60,0.013505329986774606
28.515029029063374,22.707545144242236,51.22257417330561,93,0.0126194409524863
28.48696225739719,25.68099289555293,54.16795515295012,90,0.011963762755000135
30.51374743124507,23.826205868697055,54.339953299942124,96,0.012390250973361876
28.14780154909495,28.064447270237565,56.212248819332515,87,0.011518860766046909
18.670053514382197,33.24887855753374,51.91893207191594,48,0.013394896405738895
32.393943411294075,26.171399102825017,58.565342514119095,63,0.018445335158355874
21.499138144748795,28.024850961356055,49.52398910610485,54,0.015211496780653123
41.91962532713525,21.183141090652235,63.102766417787485,114,0.013813918617974595
29.595793950556132,26.678368711710593,56.274162662266725,81,0.013293854711078492
32.83622521079866,28.44532504713722,61.28155025793588,96,0.011533971115548434
26.619164318958454,25.95111718578169,52.570281504740144,81,0.012573466826125843
34.94605909508627,26.421143568837934,61.3672026639242,111,0.01095292712285854
31.312716119154278,26.738080439139498,58.050796558293776,105,0.010651618736075525
24.279236906539552,30.262432285309984,54.541669191849536,84,0.010117034607766195
27.020026825501862,28.477039880583998,55.49706670608586,75,0.012834831073141517
32.13709217941695,27.99272533075893,60.12981751017588,102,0.010814006153288189
23.610090856686398,28.940457967644164,52.55054882433056,81,0.010624914561152325
36.607796579046486,32.242114936983974,68.84991151603046,111,0.009860436207277511
37.96836354260071,29.72265205201027,67.69101559461099,144,0.008245843846638236
32.04238307429041,29.64570834588744,61.68809142017785,102,0.010364399437884938
34.91918227252873,27.520999541395735,62.44018181392447,93,0.012709052361471313
21.02295309646584,31.583490226835885,52.606443323301725,81,0.009087270428488366
19.250893358106207,31.179121806392434,50.43001516449864,48,0.014452132616119771
17.809737683544604,32.025493098622626,49.83523078216723,42,0.015189172034340866
29.597037589106407,36.58957666662903,66.18661425573544,105,0.008143873792550313
13.384174460381772,42.83258385181747,56.21675831219924,36,0.010896987633331372
26.715758354793202,41.53694785616762,68.25270621096082,69,0.010383928105822548
27.018155793848734,29.606626537957325,56.62478233180606,87,0.010753028554293232
29.33452952304916,23.6897758585696,53.02430538161876,84,0.013837967476536182
16.189502262436314,31.929141096249325,48.11864335868564,45,0.013149382749478026
18.502081711626637,36.33028893671615,54.83237064834279,45,0.01319677798901346
31.844108897680297,22.988471559085593,54.83258045676589,114,0.011001077377353173
25.185530222381622,22.855867547736764,48.04139777011839,84,0.012758494597633226
35.92732827034439,24.40206464092477,60.32939291126916,96,0.013602685900104501
36.53655851965749,27.060289657014703,63.59684817667219,93,0.01325567726818968
35.73535544824178,28.961859794468445,64.69721524271023,111,0.010446390695977479
24.668148144710198,25.39905265841914,50.06720080312934,96,0.01019886573345686
35.86043916485767,31.739371036451256,67.59981020130893,66,0.016526449342569874
23.285541723822437,28.13331223706788,51.41885396089032,81,0.010740963443474182
27.496358554211124,29.107650826579228,56.60400938079035,75,0.012793411151253558
28.6659594692895,23.370062540316187,52.03602200960569,108,0.010693047054304482
25.351373419061492,25.618843106877254,50.970216525938746,90,0.011027212820856667
20.665270169891585,35.4723139562484,56.137584126139984,75,0.00883031379590823
22.771335886104765,30.00191042013485,52.77324630623961,69,0.011808005260404809
31.030505279766622,25.324936630248274,56.355441910014896,111,0.010396362798065361
38.97884786106111,23.215540451793505,62.19438831285462,126,0.011283282123813673
54.55183667688639,31.73534795766239,86.28718463454878,162,0.00890775089776216
46.4371398292552,22.88974897919482,69.32688880845002,156,0.01024816266878255
25.89023994266219,26.221935066687543,52.112175009349734,93,0.010654261458843416
27.233862550148768,28.662236605411398,55.896099155560165,99,0.00973329709644307
26.68584698617361,35.13177443798319,61.8176214241568,96,0.00849210102188954
26.21077164696555,31.633987865779932,57.84475951274548,96,0.009069904436677606
20.01196571395404,43.73611930603531,63.748085019989354,51,0.0106579762395889
22.602257053901027,42.94490386372543,65.54716091762646,48,0.012709299001211455
28.380594717678097,28.850803065918466,57.23139778359656,78,0.012669171355831671
21.460174477367914,34.54897056920482,56.00914504657273,69,0.010101734522882622
40.13700927136763,31.916406042287147,72.05341531365478,114,0.010304987805773352
30.207097986102887,27.96679246946475,58.17389045556764,99,0.01067330292830023
26.238170152065766,27.409248143479974,53.64741829554574,84,0.011533880839935624
36.2813646063883,26.73840137527828,63.01976598166658,93,0.013299905207553532
29.575039482509624,32.9122919161433,62.48733139865293,90,0.010277080380432173
35.73002458274863,23.598911379528555,59.328935962277185,129,0.010310198445808176
32.46491226427455,40.407802758559505,72.87271502283406,72,0.011815900521570345
27.61413625836858,27.32594562302644,54.94008188139502,87,0.011581467113709767
22.63467031789385,42.0768359071254,64.71150622501925,63,0.009857079949482173
28.780029987072872,29.143860377985717,57.92389036505859,75,0.013212886845392896
30.263883665190917,32.24564909115118,62.5095327563421,87,0.010976686299852711
25.699601311222494,26.514309473202026,52.21391078442452,75,0.01303550724654354
22.20926104681725,30.230784488227012,52.44004553504426,66,0.01204015940805942
27.645641122621022,23.07134722903806,50.71698835165908,78,0.014568805479900665
28.78693656500635,22.779358035637102,51.56629460064345,93,0.012674207437755249
23.33335146396898,21.037710804753956,44.37106226872294,93,0.011576788866829614
26.556047103376724,27.626842472452726,54.18288957582945,117,0.008305697876356589
26.43868188190837,27.376181876720526,53.814863758628896,117,0.00833404660696421
22.59381436945346,25.817614920819267,48.41142929027273,87,0.01042519495102366
26.75048220633557,27.28591829628885,54.03640050262442,81,0.012170061463845167
25.828305864876267,24.494671055000342,50.32297691987661,84,0.012366063711482625
25.054276866357103,22.900559048789095,47.9548359151462,108,0.0098730878759248
22.650817198637863,22.695781836703485,45.34659903534135,87,0.01147781799731619
21.835969789700357,31.313661640915797,53.149631430616154,75,0.01017689957955827
20.991618912974463,24.811409712158348,45.80302862513281,66,0.013400595291443522
36.30954929130756,27.134230831380975,63.44378012268854,183,0.006695982071784661
30.66518396129392,27.242434418314396,57.907618379608316,90,0.012087750364770701
22.332554953874237,22.22013244812394,44.55268740199818,90,0.011151611566139691
28.36162648296169,23.683818092768952,52.04544457573064,117,0.009708292436125485
28.484561207894426,27.334029108497308,55.818590316391735,105,0.00980997673684431
25.058218689729898,28.59505011417076,53.65326880390066,60,0.01513167725570446
27.045844589770756,26.437455421740435,53.48330001151119,54,0.018824169617534116
27.29831596524067,21.877883725073197,49.176199690313865,108,0.010819324605272391
28.781582004863953,25.8317819401765,54.613363945040454,99,0.010910170259724504
23.00178484182075,24.27482230847579,47.27660715029654,84,0.011448401996578372
25.14011264198993,24.719251041512727,49.85936368350266,81,0.012496659736654042
29.03984302957467,21.1157958746713,50.15563890424597,87,0.01434585384735752
27.651641249059686,29.563678411609402,57.21531966066909,99,0.009621976780443619
