dLambda_if,dLambda_ib,Lambda_b,Lambda_f,Lambda_i,T_ib,T_if,R_if,alpha
1.0246375821042422,0.5395455008366696,1.6042397144253486,2.1338490643348833,1.1092114822306411,44.0,80.0,1.9237531332110631,0.011799045953357045
1.25329556495493,0.5539738387554325,1.5738366775640877,2.270441863566655,1.017146298611725,50.0,90.0,2.2321684369942836,0.012871621060756242
0.9768892267626491,0.6010370160490326,1.3895756058970257,1.862380148174388,0.8854909214117389,59.0,98.0,2.10321766507238,0.010944879228735828
1.2729083552630316,0.49488576288326924,1.7551597286962557,2.511747383738923,1.2388390284758914,45.0,93.0,2.027501011837716,0.010964544456227717
1.1498156003050382,0.6752133739137276,1.9521960874361919,2.3976988030227604,1.2478832027177222,47.0,70.0,1.9214128355930218,0.013459536148425584
1.059959288869532,0.8288696789665381,1.8027250404075483,2.0147548293298243,0.9547955404602922,56.0,66.0,2.110142689144256,0.016323341790234498
1.6214973734803984,0.7034168494796869,1.8660748373907097,2.750678209654266,1.1291808361738678,57.0,102.0,2.435994414300107,0.01259324338401191
0.953582662848276,0.6035006529299534,2.01534095348732,2.300369959374605,1.346787296526329,46.0,60.0,1.708042513697436,0.01287239807539122
1.2270546461324918,0.5596789760823018,1.7254987092137855,2.376616861332214,1.149562215199722,50.0,92.0,2.067410384499552,0.011389399941576263
1.2492911529682724,0.7847920156054689,2.247320149027839,2.711514952000614,1.4622237990323417,46.0,68.0,1.854377526747286,0.013101985110319476
1.0001720869215116,0.6446150157983732,1.8205736849259104,2.233358768132839,1.2331866812113275,45.0,69.0,1.8110467799887917,0.01241773640725289
1.261873403746029,0.6827192459635484,1.7275300452838054,2.2938616465856048,1.0319882428395757,48.0,77.0,2.222759476671857,0.014965608360228713
1.225877666205632,0.6468778747208204,2.032530273899117,2.571730791676688,1.3458531254710557,48.0,74.0,1.9108554588945716,0.012624576405010036
1.0662140732285816,0.5457144406943552,1.4288586822747205,1.9490298945413984,0.8828158213128168,59.0,91.0,2.207742371045228,0.012555734384114767
1.1510156584558386,0.6427206981069975,1.8559782672421565,2.311585262886097,1.1605696044302583,64.0,91.0,1.991767881962487,0.010923621180209281
1.3144245662845706,0.5181355761747346,1.9012024552639342,2.744460447611051,1.4300358813264804,36.0,89.0,1.9191549550947837,0.010567092149785247
1.3972057469091586,0.7308790070695494,1.6759505720323211,2.3603927992710108,0.9631870523618521,54.0,90.0,2.450606861339176,0.014368211759812595
1.082800775825067,0.4695209536370526,1.419098853724693,2.0786494243868505,0.9958486485617833,43.0,92.0,2.0873146008571295,0.01153965283082414
1.1170023037628072,0.4878415575995463,1.6011496153148024,2.257842078274396,1.1408397745115888,47.0,98.0,1.9791053298794856,0.010049473428972461
0.9984326617519148,0.5869050292044204,1.6932297429053833,2.1249048404487825,1.1264721786968677,42.0,67.0,1.8863358373456927,0.013665470922435146
0.7564508742160081,0.5908839409637886,1.4136684574560034,1.6450835272674382,0.8886326530514301,52.0,70.0,1.8512526200995092,0.012692882533982165
0.7875940954060917,0.61036238797676,1.5519980415080956,1.7531586022583368,0.965564506852245,53.0,67.0,1.815682525420969,0.012843462201105297
1.2203365885671662,0.7277360367905608,2.1181398402690284,2.6561087887862476,1.4357722002190814,48.0,76.0,1.8499513978477629,0.011677465376008963
1.2288340681465815,0.5484536517267865,1.2625000322100144,2.0640709955944416,0.8352369274478602,58.0,134.0,2.471240108960929,0.009740561131620931
0.733565985401887,0.6460116199341784,1.7542244685610344,1.7816080575093867,1.0480420721074997,65.0,66.0,1.6999394441549134,0.011598232652795252
1.0973640991813758,0.7327179158427539,2.131611715640185,2.4519596877179524,1.3545955885365766,53.0,68.0,1.810104586540771,0.012589309670563244
1.420189203207805,0.5960121227335058,1.7622523914886046,2.562309289215828,1.1421200860080232,53.0,93.0,2.243467495761937,0.01253473421326231
1.216971906945017,0.5128041041110272,1.7859887513503074,2.4330263988822867,1.2160544919372698,51.0,87.0,2.000754419323994,0.011500506849380164
0.8681119459960746,0.6899014042208731,1.584098590503148,1.8334911339032727,0.9653791879071981,56.0,73.0,1.8992445216040084,0.012677063832558625
1.292596787620674,0.6395076803189674,1.6546099195913033,2.3269000808632807,1.0343032932426066,54.0,89.0,2.249727034676938,0.013143258045630504
1.5672198004833975,0.4640226531602114,1.52059064147956,2.5429466746451697,0.9757268741617723,57.0,115.0,2.6062074766873313,0.012016973386940844
1.4929889209103193,0.9892839892615208,2.2449150948216823,2.7976888605580728,1.3046999396477534,49.0,70.0,2.1443159270118466,0.015721678243480468
1.0892628272434497,0.6905279638650961,1.7054782807277706,2.1820966602395613,1.0928338329961116,51.0,81.0,1.996732343340001,0.012316555016163478
1.0835805843864006,0.7480761215401717,1.9067857862211717,2.2245443229817377,1.140963738595337,58.0,76.0,1.94970641724374,0.012674432924948792
0.9165777851841834,0.6168509080302482,1.6961230564462881,2.063446834080981,1.1468690488967976,52.0,80.0,1.799200036016198,0.010591944938851076
0.7966729145782174,0.5750816867707373,1.7642476169026926,1.9641693073760942,1.1674963927978768,54.0,67.0,1.6823771957607596,0.011201510446456345
0.7456854684438754,0.43846949421839576,1.861624499702092,2.2013727731909274,1.455687304747052,29.0,51.0,1.5122566268264939,0.011700058484378016
