dL,dL_bi,L_b,L_d,L_i,T_bd,T_bi,R_db,lambda
1.7499999999999998,0.2558,1.8242,3.5742,2.08,162.0,33.0,1.9593246354566385,0.003973333333333333
1.8223,0.061799999999999855,1.8242,3.6465,1.886,189.0,9.0,1.998958447538647,0.0037533333333333338
1.2949,0.15870000000000006,1.7598,3.0547,1.9185,162.0,27.0,1.7358222525286964,0.0032649999999999997
1.9063,0.39490000000000003,1.3652,3.2715,1.7601,231.0,75.0,2.3963521828303547,0.0033216666666666668
1.8408000000000002,0.1987000000000001,1.6904,3.5312,1.8891,183.0,27.0,2.0889730241362994,0.004275
1.4296999999999997,0.2117,1.6367,3.0664,1.8484,288.0,51.0,1.8735259974338607,0.0024416666666666666
1.7881,0.2652000000000001,1.501,3.2891,1.7662,225.0,48.0,2.1912724850099936,0.003323333333333333
1.4707,0.0006999999999997009,2.1484,3.6191,2.1491,168.0,0.0,1.6845559486129211,0.0037066666666666667
2.0391,0.19069999999999987,1.6953,3.7344,1.886,204.0,27.0,2.202795965315873,0.004136666666666667
1.4346,-0.12559999999999993,1.8857,3.3203,1.7601,132.0,-27.0,1.7607784907461421,0.004645000000000001
1.5254,0.06119999999999992,1.7598,3.2852,1.821,153.0,6.0,1.8668030458006593,0.004916666666666666
1.8886999999999998,0.12959999999999994,1.6914,3.5801,1.821,126.0,12.0,2.116648929880572,0.00563
2.9257999999999997,0.19989999999999974,1.8242,4.75,2.0241,204.0,21.0,2.6038811533823045,0.0047333333333333324
1.9648,0.4032,1.3711,3.3359,1.7743,195.0,51.0,2.4330099919772445,0.005076666666666666
1.9131,0.5190000000000001,1.626,3.5391,2.145,189.0,72.0,2.176568265682657,0.00383
1.4930999999999999,-0.017900000000000027,1.8389,3.332,1.821,153.0,21.0,1.8119527978682908,0.004445
1.8183999999999998,0.3208,1.8242,3.6426,2.145,174.0,36.0,1.9968205240653436,0.004586666666666667
2.1719,0.38749999999999973,1.7656,3.9375,2.1531,231.0,57.0,2.2301200724966015,0.003515
1.8525,0.38870000000000005,1.8213,3.6738,2.21,279.0,72.0,2.017130620985011,0.0026416666666666667
1.8632000000000002,-0.029199999999999893,1.7852,3.6484,1.756,216.0,-30.0,2.0436925834640376,0.003486666666666667
1.9961000000000002,0.2609999999999999,1.625,3.6211,1.886,189.0,36.0,2.228369230769231,0.004141666666666667
2.1357,0.24950000000000006,1.8955,4.0312,2.145,258.0,45.0,2.126721181746241,0.002725
1.5977000000000001,-0.25960000000000005,2.0156,3.6133,1.756,132.0,-33.0,1.792667195872197,0.004255
1.7764,0.050799999999999956,1.9033,3.6797,1.9541,147.0,6.0,1.9333263279567068,0.0050616666666666674
1.8369000000000002,0.12359999999999993,1.8955,3.7324,2.0191,153.0,15.0,1.9690846742284358,0.004635
1.5723,0.26269999999999993,1.6914,3.2637,1.9541,210.0,45.0,1.929584959205392,0.00329
2.0976999999999997,0.8436000000000001,1.6914,3.7891,2.535,258.0,120.0,2.240215206337945,0.0033316666666666664
1.2441,-0.00019999999999997797,1.9512,3.1953,1.951,141.0,-9.0,1.6376076260762606,0.003645
2.0069,0.38870000000000005,1.5654,3.5723,1.9541,210.0,60.0,2.2820365401814233,0.0037716666666666662
2.6826,0.5201,1.7549,4.4375,2.275,288.0,90.0,2.5286341102057097,0.0028683333333333334
1.1309,-0.5978000000000001,2.3203,3.4512,1.7225,111.0,-51.0,1.487393871482136,0.0036766666666666666
1.7167999999999999,0.1359999999999999,1.8242,3.541,1.9602,267.0,27.0,1.9411248766582612,0.0025783333333333335
1.6825999999999999,0.2573000000000001,1.71,3.3926,1.9673,189.0,39.0,1.9839766081871344,0.0034950000000000003
1.7529,0.2831999999999999,1.6709,3.4238,1.9541,195.0,45.0,2.0490753486145192,0.0034766666666666665
1.4413999999999998,-0.03980000000000006,1.4434,2.8848,1.4036,162.0,-24.0,1.998614382707496,0.004675
1.7666000000000002,0.5137,1.3896,3.1562,1.9033,195.0,78.0,2.2713010938399543,0.003998333333333334
1.6445999999999998,0.1904999999999999,1.4355,3.0801,1.626,162.0,24.0,2.1456635318704285,0.004889999999999999
1.9541,0.33420000000000005,1.626,3.5801,1.9602,195.0,45.0,2.2017835178351786,0.004066666666666666
1.7012,0.45779999999999976,1.6953,3.3965,2.1531,237.0,90.0,2.0034802099923317,0.0026616666666666668
1.6641,0.3437000000000001,1.6875,3.3516,2.0312,168.0,45.0,1.9861333333333333,0.004216666666666666
1.7011999999999998,0.3234999999999999,1.6367,3.3379,1.9602,216.0,57.0,2.039408566016985,0.0032433333333333333
2.9805,0.5083,1.6367,4.6172,2.145,519.0,138.0,2.8210423412965113,0.0019749999999999998
1.1738,-0.5208000000000002,2.3418,3.5156,1.821,120.0,-114.0,1.5012383636518916,0.003486666666666667
1.8633000000000002,0.059699999999999864,1.6953,3.5586,1.755,237.0,12.0,2.0990975048663953,0.0030216666666666664
1.9589,0.21219999999999994,1.5723,3.5312,1.7845,216.0,33.0,2.2458818291674616,0.003691666666666667
1.75,0.07309999999999994,1.7012,3.4512,1.7743,153.0,9.0,2.0286856336703503,0.004673333333333333
2.1641000000000004,0.19459999999999988,1.6914,3.8555,1.886,216.0,27.0,2.2794726262267946,0.0039366666666666664
2.5116999999999994,0.5239,1.8242,4.3359,2.3481,237.0,69.0,2.376877535357965,0.003616666666666667
2.1484,0.46220000000000017,1.7559,3.9043,2.2181,315.0,93.0,2.2235320918047727,0.0025183333333333334
1.4335000000000004,-0.11499999999999977,2.002,3.4355,1.887,120.0,-12.0,1.7160339660339663,0.004748333333333334
1.6982,0.3503000000000003,1.876,3.5742,2.2263,162.0,42.0,1.905223880597015,0.004043333333333334
1.5947,0.3234999999999999,1.5615,3.1562,1.885,174.0,45.0,2.0212616074287544,0.004155
2.0858999999999996,0.7901,1.3711,3.457,2.1612,246.0,132.0,2.5213332360878127,0.0034266666666666664
1.5068000000000001,0.45809999999999995,1.626,3.1328,2.0841,216.0,81.0,1.9266912669126692,0.003015
1.9082000000000001,0.31369999999999987,1.5723,3.4805,1.886,273.0,57.0,2.213636074540482,0.003223333333333333
2.0195,0.2932999999999999,1.4668,3.4863,1.7601,174.0,33.0,2.376806653940551,0.005293333333333333
2.2813,0.1935,1.6367,3.918,1.8302,225.0,27.0,2.3938412659619965,0.004006666666666667
1.6943,-0.0976999999999999,1.9502,3.6445,1.8525,147.0,-15.0,1.868782688954979,0.004198333333333333
2.0195,0.19879999999999987,1.8203,3.8398,2.0191,216.0,27.0,2.10943251112454,0.0037433333333333338
1.6953,0.2596000000000003,2.0195,3.7148,2.2791,162.0,30.0,1.8394652141619214,0.0038599999999999997
1.8194,0.05069999999999997,1.7744,3.5938,1.8251,210.0,9.0,2.025360685302074,0.003316666666666667
1.8906,0.19510000000000005,1.7559,3.6465,1.951,231.0,33.0,2.076712796856313,0.003205
1.5586,0.0008999999999999009,1.8242,3.3828,1.8251,153.0,0.0,1.854401929612981,0.00401
2.1015,0.5880000000000001,1.7012,3.8027,2.2892,378.0,123.0,2.2353044909475663,0.00239
1.6172,0.0040000000000000036,2.0801,3.6973,2.0841,168.0,0.0,1.7774626219893275,0.003303333333333333
1.833,0.04049999999999998,1.8486,3.6816,1.8891,252.0,6.0,1.991561181434599,0.0029166666666666664
1.2841,0.00019999999999997797,1.96,3.2441,1.9602,132.0,0.0,1.6551530612244898,0.0038516666666666664
1.376,0.09599999999999986,1.5615,2.9375,1.6575,120.0,12.0,1.8812039705411463,0.00554
1.8955000000000002,0.20930000000000004,1.501,3.3965,1.7103,174.0,27.0,2.2628247834776816,0.005095000000000001
1.6192,0.3306,1.6367,3.2559,1.9673,174.0,39.0,1.9893077534062442,0.004563333333333333
2.0566999999999998,0.5188000000000001,1.6953,3.752,2.2141,174.0,57.0,2.213177608682829,0.004601666666666667
1.8017,0.1851999999999998,1.8389,3.6406,2.0241,147.0,21.0,1.9797705149817826,0.00455
1.8252,0.2642,1.7549,3.5801,2.0191,174.0,33.0,2.040059262636048,0.004428333333333333
1.8925999999999998,0.25849999999999973,1.7656,3.6582,2.0241,189.0,36.0,2.0719302220208426,0.003841666666666667
1.6924000000000001,0.13470000000000004,1.6904,3.3828,1.8251,162.0,18.0,2.001183151916706,0.004548333333333333
1.8241999999999998,0.20429999999999993,1.7559,3.5801,1.9602,189.0,27.0,2.038897431516601,0.0040950000000000005
2.1456,0.26349999999999985,1.8896,4.0352,2.1531,267.0,42.0,2.1354784081287046,0.0030233333333333336
1.4843,0.07299999999999995,1.5723,3.0566,1.6453,183.0,12.0,1.944031037333842,0.004181666666666667
2.2196999999999996,0.6579999999999997,1.4951,3.7148,2.1531,273.0,108.0,2.4846498561969095,0.0033883333333333335
1.6405999999999998,0.0915999999999999,1.8848,3.5254,1.9764,174.0,12.0,1.870437181663837,0.0039966666666666675
1.2969,-0.4584999999999999,2.0195,3.3164,1.561,147.0,-75.0,1.6421886605595444,0.0035916666666666666
1.9531,0.2641,1.625,3.5781,1.8891,231.0,45.0,2.2019076923076923,0.0032483333333333335
1.7305000000000001,0.22930000000000006,1.7207,3.4512,1.95,204.0,30.0,2.0056953565409428,0.004088333333333334
1.3731,0.014999999999999902,1.6953,3.0684,1.7103,141.0,3.0,1.8099451424526631,0.00437
1.9062000000000001,0.008000000000000007,2.0801,3.9863,2.0881,189.0,0.0,1.9163982500841308,0.0032783333333333336
1.6366999999999998,0.1299999999999999,1.625,3.2617,1.755,216.0,24.0,2.0072,0.0031400000000000004
1.5655000000000001,0.2048000000000001,1.6904,3.2559,1.8952,231.0,39.0,1.926112162801704,0.0030299999999999997
2.3662,0.5230999999999999,1.626,3.9922,2.1491,252.0,87.0,2.455227552275523,0.003185
1.96,0.26869999999999994,1.5615,3.5215,1.8302,225.0,42.0,2.255203330131284,0.003853333333333333
2.4717000000000002,0.3941999999999999,1.7549,4.2266,2.1491,204.0,48.0,2.408456322297567,0.004241666666666666
1.3867000000000003,-0.2600999999999998,2.0801,3.4668,1.82,120.0,-30.0,1.6666506417960676,0.004455
1.9433999999999998,0.3143,1.6367,3.5801,1.951,279.0,69.0,2.1873892588745645,0.002586666666666667
1.624,0.19500000000000006,1.626,3.25,1.821,204.0,33.0,1.9987699876998772,0.0035166666666666666
2.9130999999999996,0.0988,1.6572,4.5703,1.756,258.0,15.0,2.7578445570842383,0.0040216666666666664
2.2901,0.39259999999999984,1.5615,3.8516,1.9541,435.0,108.0,2.4666026256804354,0.0021016666666666666
2.3545,0.16970000000000018,1.7549,4.1094,1.9246,351.0,39.0,2.3416718901361904,0.0023383333333333333
1.5644,-0.13200000000000012,2.084,3.6484,1.952,126.0,-9.0,1.7506717850287907,0.004553333333333334
1.4219,-0.00019999999999997797,1.6953,3.1172,1.6951,126.0,-18.0,1.8387306081519494,0.0049633333333333335
2.1582,0.39250000000000007,1.6875,3.8457,2.08,237.0,57.0,2.2789333333333333,0.003633333333333333
1.2919999999999998,-0.23449999999999993,1.96,3.252,1.7255,111.0,-42.0,1.6591836734693877,0.004645000000000001
1.71,0.25949999999999984,1.5615,3.2715,1.821,147.0,30.0,2.0951008645533142,0.004996666666666667
1.4150000000000003,0.00019999999999997797,1.5811,2.9961,1.5813,120.0,0.0,1.8949465561950543,0.005095000000000001
0.6562999999999999,0.0009000000000001229,3.1191,3.7754,3.12,162.0,0.0,1.2104132602353244,0.0025499999999999997
1.5663999999999998,0.015600000000000058,2.0156,3.582,2.0312,153.0,3.0,1.7771383210954552,0.004003333333333334
1.7051000000000003,0.0040000000000000036,2.0801,3.7852,2.0841,162.0,0.0,1.8197202057593387,0.004066666666666666
1.7822,0.08729999999999993,1.9541,3.7363,2.0414,147.0,9.0,1.9120311140678574,0.00455
1.6288999999999998,0.26750000000000007,2.0156,3.6445,2.2831,189.0,36.0,1.8081464576304822,0.0033883333333333335
1.8672,0.06440000000000001,2.0156,3.8828,2.08,153.0,6.0,1.9263742806112323,0.004505
1.4394999999999998,0.0006999999999997009,2.1484,3.5879,2.1491,147.0,0.0,1.6700335133122322,0.003876666666666667
1.8301000000000003,0.39400000000000013,2.0801,3.9102,2.4741,183.0,48.0,1.879813470506226,0.003616666666666667
1.7577999999999998,0.21129999999999982,1.8301,3.5879,2.0414,174.0,27.0,1.9604939620785748,0.003971666666666667
1.8232,0.3399000000000001,1.8213,3.6445,2.1612,183.0,42.0,2.001043210893318,0.00406
2.1592,0.3351000000000002,1.9541,4.1133,2.2892,147.0,33.0,2.1049588045647614,0.004988333333333333
1.6054999999999997,0.2163999999999997,2.2109,3.8164,2.4273,111.0,18.0,1.7261748609163687,0.00513
