dLambda_if,dLambda_ib,Lambda_b,Lambda_f,Lambda_i,T_ib,T_if,R_if,alpha
16.231115390625135,10.8347464190499,29.274285094352837,37.44091575229475,21.209800361669615,17.0,26.0,1.765264882924501,0.03153402615995687
18.070008381950224,13.646063065332637,29.061244794254975,33.4038909000552,15.333882518104978,25.0,30.0,2.178436600164026,0.037443104219446154
14.94564728543475,13.646063065332637,24.270792163825668,27.618501940106274,12.672854654671523,25.0,29.0,2.179343383373013,0.038754949289172405
8.827643920266212,9.918955794289253,29.05048761245536,27.757654605514116,18.930010685247904,15.0,14.0,1.4663306358905315,0.03944360332616097
12.069878429255542,9.918955794289253,27.22477265146053,30.675368556801867,18.605490127546325,15.0,20.0,1.6487267116594528,0.03606761407435038
20.909901790725236,16.1613895581183,39.722377152288836,42.7486833134308,21.838781522705567,28.0,31.0,1.9574665037509267,0.03125766516997974
17.13582975622002,16.1613895581183,34.635997498045676,36.05214212192007,18.91631236570005,28.0,29.0,1.905875808399713,0.03208462457652935
11.472271892694458,13.071820038612586,32.92430395039924,32.93837893164425,21.466107038949794,18.0,16.0,1.534436536251229,0.03860681110532039
22.31358593300378,9.793204439346606,25.094516800218685,39.22677506126445,16.91318912826067,21.0,42.0,2.319300917395848,0.028897381295437168
17.19727285560974,9.793204439346606,24.715251007396045,33.8869104660675,16.68963761045776,21.0,35.0,2.0304161933889984,0.029193585154658065
14.583180845270334,11.031934199810514,29.726932169055708,32.18804088629864,17.604860041028303,30.0,34.0,1.8283610782070454,0.025604441546225733
14.77815797657659,11.031934199810514,28.592009923360227,31.657715631076055,16.879557654499465,30.0,35.0,1.8755062353566643,0.02592228741224856
14.573773257877466,8.592131968635229,23.391850968065093,30.788808584177342,16.215035326299876,14.0,24.0,1.8987814682241009,0.0385447447706985
18.203573427016597,8.592131968635229,25.338636047131562,35.55926862403626,17.35569519701966,14.0,26.0,2.0488530260742617,0.03980063448910431
17.311510513599558,11.43755167642281,26.010445693507936,35.53109607398996,18.2195855603904,17.0,29.0,1.95015940160763,0.033227312117791
16.992393203671593,12.795536104776623,29.46454277503079,33.80143523929187,16.809042035620276,21.0,26.0,2.010907889198134,0.03876334614130142
15.597802905220913,12.795536104776623,30.283139533629285,32.91116902146441,17.313366116243497,21.0,24.0,1.9009110533732068,0.03861212614954244
20.340944436801706,10.421498564462137,28.026582376982986,38.59343773583142,18.252493299029716,18.0,30.0,2.1144200468153582,0.036008733611596344
18.472590323624473,10.421498564462137,24.43830766773509,34.45531947828077,15.9827291546563,18.0,31.0,2.155784481165583,0.03574880502225941
13.854240793990357,9.46626850521725,28.652680139348373,34.13923399008347,20.28499319609311,16.0,23.0,1.6829798097570317,0.032652950832981614
15.905996968669658,9.46626850521725,31.218614482856967,38.13460630667671,22.22860933800705,16.0,25.0,1.715564195978431,0.031147324487571744
22.181848371845966,16.118582330220256,33.07819565327009,40.97485976728912,18.793011395443152,26.0,38.0,2.180324318710546,0.02959323023297189
20.74583607368816,16.118582330220256,32.78087122529827,39.04771866525453,18.30188259156637,26.0,34.0,2.1335356332822277,0.03215430017459948
22.038013849529907,10.894714319471685,31.094233383479466,42.07749847319493,20.03948462366502,20.0,32.0,2.099729572062187,0.03344386039292371
15.386177486801266,15.889658111192787,35.32952931666844,35.20887116285751,19.822693676056247,27.0,27.0,1.7761900445137873,0.03069577599864782
15.386177486801266,15.889658111192787,33.432424905064174,35.20887116285751,19.822693676056247,27.0,27.0,1.7761900445137873,0.03069577599864782
15.053683291478812,18.197057835382193,43.66658877097303,37.335576810057795,22.281893518578983,31.0,30.0,1.6756016170226655,0.024822639385874593
14.207738264909175,18.197057835382193,33.799979232783464,36.547135016399885,22.33939675149071,31.0,29.0,1.6359947147615386,0.02448855474213582
16.921793265025375,9.976780413020311,23.20963658958174,33.030012088967005,16.10821882394163,20.0,38.0,2.0505067909727255,0.02726264530694436
20.346723791071895,9.976780413020311,28.959343248694108,39.89868437610494,19.551960585033044,20.0,35.0,2.040648772923941,0.029400796963022363
17.315193032781927,12.634291778977122,38.89981477866318,43.72622010517276,26.41102707239083,26.0,32.0,1.6556046830485676,0.02272994482807196
12.192050507069627,12.634291778977122,29.818871233344407,32.565526063013635,20.373475555944008,26.0,31.0,1.598427620932481,0.021827529623284204
18.78109629831695,9.982900034947683,32.86496564621715,42.37012289705346,23.589026598736513,17.0,28.0,1.79617936839,0.03017612236930457
