Lb,dL,Li,Li_prev,dLambda_if,lambda_inv,Tid,dLambda_ib,Lb_mother,condition
1.6026707025088152,1.9258753615954987,,,,84.31437975885848,,,,glycerol
1.381818268930374,2.277840860829004,,,,74.72557632558387,,,,glycerol
1.4429930180691104,1.8110837956350425,,,,99.72860289200725,,,43.0424008728899,glycerol
2.057289175791611,2.093997440854142,,,,100.70951357425447,,,24.656472346289462,glycerol
1.5992581853580548,1.8042729270178974,,,,79.8436583750091,,,24.656472346289462,glycerol
1.7502797185209529,1.9515857168526005,,,,72.17764913539247,,,21.25874259892883,glycerol
1.7606282600485819,2.0393914734419987,,,,81.0871749990328,,,21.25874259892883,glycerol
1.6965618198453547,2.097580910593173,2.21862727438742,,,77.50870142906888,60.0,1.5755154560511078,24.60397208243161,glycerol
1.6192574980396834,1.564612159699101,1.804256235503466,,,76.88768090804295,63.0,1.3796134222353185,24.60397208243161,glycerol
1.7051121973468615,1.7754435034500056,1.8952365549794083,,,78.68271606313535,69.0,1.5853191458174587,26.927380284937737,glycerol
2.041344941354031,1.7701132496952758,2.200175723991026,,,83.25719325077598,66.0,1.611282467058281,31.65060270448632,glycerol
1.9609227801456806,1.3196149452729315,2.0644717586585974,,,80.81901041230714,54.0,1.2160659667600147,31.65060270448632,glycerol
1.6786944770494887,1.9417313316708398,2.325833855237416,1.0322358793292987,1.293597975908117,89.28412768705087,57.0,1.2945919534829127,30.168042771472006,glycerol
1.438112793989115,1.7813043813762743,1.9851195783118756,1.0322358793292987,0.9528836989825767,90.31304815325812,63.0,1.2342975970535137,30.168042771472006,glycerol
2.1620515845158264,1.3423051774961032,2.4395044631426424,1.100087861995513,1.3394166011471293,120.55996459965793,63.0,1.0648522988692872,31.40530679006202,glycerol
1.5327119485175325,1.7465909918766296,2.007572411215372,1.100087861995513,0.907484549219859,84.75328539960358,60.0,1.27173052917879,31.40530679006202,glycerol
1.812929952006226,2.133473574327109,2.3117981927646216,1.10931363719371,1.2024845555709114,85.54508225635628,66.0,1.6346053335687136,26.100951074543918,glycerol
1.8849804750334755,1.6920470914514525,2.411641735355675,1.2197522315713212,1.1918895037843535,126.59437819750701,72.0,1.165385831129253,33.26233206947425,glycerol
1.5039073104072427,1.7228072545903375,2.0671049168898508,1.2197522315713212,0.8473526853185294,98.06144242028833,63.0,1.1596096481077294,33.26233206947425,glycerol
1.9721099268052735,2.1341467530975753,2.4143338251586397,1.162916927618708,1.2514168975399318,82.2241079421143,63.0,1.6919228547442091,25.826068877684442,glycerol
1.3827370724684158,1.7978413506517548,1.581572272792369,1.003786205607686,0.577786067184683,77.38635135336989,78.0,1.5990061503278017,23.58018382334665,glycerol
1.603065290872588,1.6820060873535232,1.850418368438969,1.003786205607686,0.8466321628312831,72.45736022694616,60.0,1.4346530097871422,23.58018382334665,glycerol
1.601461825579226,1.7009759639875917,1.6485013719762267,0.9252091842194845,0.7232921877567422,71.82931222613762,72.0,1.6539364175905908,24.662542936501353,glycerol
1.4520190654545897,1.645172583221306,1.5327524395047862,0.7907861363961844,0.7419663031086018,76.85971265851451,78.0,1.5644392091711095,21.272878037975627,glycerol
1.6527702059437253,1.6981401133320524,1.903717671215832,0.7907861363961844,1.1129315348196474,73.55343030466398,60.0,1.4471926480599457,21.272878037975627,glycerol
1.5313540152770018,1.6854120053605643,1.9612075596311678,1.0335524584449254,0.9276551011862426,92.4539668816808,66.0,1.2555584610063983,23.13703554472681,glycerol
1.4852507271180024,1.781608967439483,1.8087662711440833,1.0335524584449254,0.775213812699158,84.41801689577053,72.0,1.4580934234134022,23.13703554472681,glycerol
1.8555795189159978,2.3279963270751365,2.295883150954082,1.2058208676778375,1.0900622832762445,107.42908228578787,93.0,1.8876926950370523,28.999699615899623,glycerol
1.6288662134069185,1.9921834186869607,1.9657147144278413,1.2058208676778375,0.7598938467500039,132.7502919626358,117.0,1.655334917666038,28.999699615899623,glycerol
1.4893578078679004,1.9755276445064462,2.0770771014270313,0.9806037798155839,1.096473321611447,81.27296346935339,60.0,1.3878083509473154,23.559292542723103,glycerol
1.3868217215425143,2.182040334915655,1.9510124562240225,0.9806037798155839,0.9704086764084386,79.19736108844373,69.0,1.617849600234147,23.559292542723103,glycerol
2.2263531128119975,1.323476167643857,1.9737789042713965,1.147941575477041,0.8258373287943555,98.05855750279463,75.0,1.576050376184458,28.547377214092272,glycerol
1.9933019193446175,1.6469373216785854,1.9359410115639013,1.147941575477041,0.7879994360868604,79.41321488891006,81.0,1.7042982294593017,28.547377214092272,glycerol
1.8856676483512715,1.932137440338587,2.0394068970828148,0.9828573572139206,1.0565495398688942,106.12498075841887,96.0,1.7783981916070437,25.059480206260282,glycerol
1.6799929764952397,2.1042484744881524,2.143427892017271,0.9828573572139206,1.1605705348033506,76.82137460067187,63.0,1.640813558966121,25.059480206260282,glycerol
1.8083257223191895,1.6675810462163698,2.222772502022579,0.9868894521356982,1.235883049886881,120.92477903353291,78.0,1.2531342665129803,34.25158635095381,glycerol
1.681049067803957,1.7556974865428612,2.228050404479696,0.9868894521356982,1.2411609523439977,95.95983624237131,60.0,1.208696149867122,34.25158635095381,glycerol
1.713226764581168,2.0066543783106745,2.145707848527927,0.9679705057819507,1.177737342745976,83.14406848799632,66.0,1.5741732943639155,30.666183374532576,glycerol
1.7490546190493004,1.554592118763248,1.9781514797720712,0.9679705057819507,1.0101809739901204,101.36415618523162,75.0,1.3254952580404773,30.666183374532576,glycerol
