/scicore/home/nimwegen/GROUP/MM_Data/Guillaume/20170327_GW339_temp/20170327_GW339_Pos2/output/20170327_GW339_Pos2_GL16
GLidx = 0
numCells = 247
numChannels = 3
imageHeight = 421

glHeight = 342

trackRegionInterval = [50,391]
id=0; pid=-1; birth_frame=-1; daughter_type=CELL#1
	frame=0; pos_in_GL=[7,7]; pixel_limits=[252,304]; cell_height=54.49; num_pixels_in_box=1060; genealogy=1
	frame=1; pos_in_GL=[7,7]; pixel_limits=[252,304]; cell_height=54.90; num_pixels_in_box=1060; genealogy=1
	frame=2; pos_in_GL=[8,8]; pixel_limits=[251,304]; cell_height=56.73; num_pixels_in_box=1080; genealogy=1
	frame=3; pos_in_GL=[8,8]; pixel_limits=[250,303]; cell_height=54.66; num_pixels_in_box=1080; genealogy=1
	frame=4; pos_in_GL=[8,8]; pixel_limits=[249,305]; cell_height=58.90; num_pixels_in_box=1140; genealogy=1
	frame=5; pos_in_GL=[8,8]; pixel_limits=[249,303]; cell_height=57.31; num_pixels_in_box=1100; genealogy=1
	frame=6; pos_in_GL=[7,7]; pixel_limits=[248,304]; cell_height=58.49; num_pixels_in_box=1140; genealogy=1
	frame=7; pos_in_GL=[7,7]; pixel_limits=[247,304]; cell_height=59.49; num_pixels_in_box=1160; genealogy=1
	frame=8; pos_in_GL=[8,8]; pixel_limits=[246,304]; cell_height=60.49; num_pixels_in_box=1180; genealogy=1
	frame=9; pos_in_GL=[8,8]; pixel_limits=[246,305]; cell_height=60.66; num_pixels_in_box=1200; genealogy=1
	frame=10; pos_in_GL=[8,8]; pixel_limits=[245,305]; cell_height=62.49; num_pixels_in_box=1220; genealogy=1
	DIVISION

id=1; pid=-1; birth_frame=-1; daughter_type=CELL#2
	frame=0; pos_in_GL=[6,7]; pixel_limits=[208,250]; cell_height=45.31; num_pixels_in_box=860; genealogy=2
	frame=1; pos_in_GL=[6,7]; pixel_limits=[206,249]; cell_height=46.31; num_pixels_in_box=880; genealogy=2
	frame=2; pos_in_GL=[7,8]; pixel_limits=[204,249]; cell_height=49.14; num_pixels_in_box=920; genealogy=2
	frame=3; pos_in_GL=[7,8]; pixel_limits=[203,248]; cell_height=52.46; num_pixels_in_box=920; genealogy=2
	frame=4; pos_in_GL=[7,8]; pixel_limits=[201,247]; cell_height=48.49; num_pixels_in_box=940; genealogy=2
	frame=5; pos_in_GL=[7,8]; pixel_limits=[200,247]; cell_height=51.97; num_pixels_in_box=960; genealogy=2
	frame=6; pos_in_GL=[6,7]; pixel_limits=[198,246]; cell_height=51.31; num_pixels_in_box=980; genealogy=2
	frame=7; pos_in_GL=[6,7]; pixel_limits=[196,245]; cell_height=53.97; num_pixels_in_box=1000; genealogy=2
	DIVISION

id=2; pid=-1; birth_frame=-1; daughter_type=CELL#3
	frame=0; pos_in_GL=[5,7]; pixel_limits=[175,206]; cell_height=31.83; num_pixels_in_box=640; genealogy=3
	frame=1; pos_in_GL=[5,7]; pixel_limits=[172,204]; cell_height=33.66; num_pixels_in_box=660; genealogy=3
	frame=2; pos_in_GL=[6,8]; pixel_limits=[171,202]; cell_height=33.49; num_pixels_in_box=640; genealogy=3
	frame=3; pos_in_GL=[6,8]; pixel_limits=[169,201]; cell_height=33.66; num_pixels_in_box=660; genealogy=3
	frame=4; pos_in_GL=[6,8]; pixel_limits=[166,199]; cell_height=33.00; num_pixels_in_box=680; genealogy=3
	frame=5; pos_in_GL=[6,8]; pixel_limits=[164,198]; cell_height=34.00; num_pixels_in_box=700; genealogy=3
	frame=6; pos_in_GL=[5,7]; pixel_limits=[162,196]; cell_height=34.00; num_pixels_in_box=700; genealogy=3
	frame=7; pos_in_GL=[5,7]; pixel_limits=[159,194]; cell_height=35.00; num_pixels_in_box=720; genealogy=3
	frame=8; pos_in_GL=[5,8]; pixel_limits=[157,192]; cell_height=35.00; num_pixels_in_box=720; genealogy=3
	frame=9; pos_in_GL=[5,8]; pixel_limits=[155,191]; cell_height=36.00; num_pixels_in_box=740; genealogy=3
	frame=10; pos_in_GL=[5,8]; pixel_limits=[152,189]; cell_height=37.00; num_pixels_in_box=760; genealogy=3
	frame=11; pos_in_GL=[5,9]; pixel_limits=[150,187]; cell_height=37.00; num_pixels_in_box=760; genealogy=3
	frame=12; pos_in_GL=[5,9]; pixel_limits=[148,186]; cell_height=38.00; num_pixels_in_box=780; genealogy=3
	frame=13; pos_in_GL=[5,9]; pixel_limits=[146,184]; cell_height=38.00; num_pixels_in_box=780; genealogy=3
	frame=14; pos_in_GL=[5,9]; pixel_limits=[144,183]; cell_height=39.00; num_pixels_in_box=800; genealogy=3
	frame=15; pos_in_GL=[5,9]; pixel_limits=[142,181]; cell_height=39.00; num_pixels_in_box=800; genealogy=3
	frame=16; pos_in_GL=[4,8]; pixel_limits=[140,180]; cell_height=40.00; num_pixels_in_box=820; genealogy=3
	frame=17; pos_in_GL=[4,8]; pixel_limits=[137,178]; cell_height=41.00; num_pixels_in_box=840; genealogy=3
	frame=18; pos_in_GL=[4,8]; pixel_limits=[134,176]; cell_height=42.00; num_pixels_in_box=860; genealogy=3
	frame=19; pos_in_GL=[4,8]; pixel_limits=[132,174]; cell_height=42.00; num_pixels_in_box=860; genealogy=3
	frame=20; pos_in_GL=[4,8]; pixel_limits=[128,172]; cell_height=44.00; num_pixels_in_box=900; genealogy=3
	frame=21; pos_in_GL=[4,8]; pixel_limits=[125,171]; cell_height=46.00; num_pixels_in_box=940; genealogy=3
	frame=22; pos_in_GL=[4,8]; pixel_limits=[122,169]; cell_height=48.24; num_pixels_in_box=960; genealogy=3
	frame=23; pos_in_GL=[4,8]; pixel_limits=[119,167]; cell_height=48.00; num_pixels_in_box=980; genealogy=3
	frame=24; pos_in_GL=[4,8]; pixel_limits=[117,165]; cell_height=49.24; num_pixels_in_box=980; genealogy=3
	frame=25; pos_in_GL=[3,7]; pixel_limits=[114,163]; cell_height=49.83; num_pixels_in_box=1000; genealogy=3
	frame=26; pos_in_GL=[3,7]; pixel_limits=[110,160]; cell_height=52.49; num_pixels_in_box=1020; genealogy=3
	frame=27; pos_in_GL=[3,7]; pixel_limits=[107,157]; cell_height=51.66; num_pixels_in_box=1020; genealogy=3
	frame=28; pos_in_GL=[3,7]; pixel_limits=[102,155]; cell_height=53.83; num_pixels_in_box=1080; genealogy=3
	frame=29; pos_in_GL=[4,8]; pixel_limits=[98,152]; cell_height=55.66; num_pixels_in_box=1100; genealogy=3
	frame=30; pos_in_GL=[4,8]; pixel_limits=[93,149]; cell_height=58.07; num_pixels_in_box=1140; genealogy=3
	frame=31; pos_in_GL=[4,8]; pixel_limits=[89,146]; cell_height=59.07; num_pixels_in_box=1160; genealogy=3
	frame=32; pos_in_GL=[4,8]; pixel_limits=[85,142]; cell_height=59.06; num_pixels_in_box=1160; genealogy=3
	frame=33; pos_in_GL=[4,8]; pixel_limits=[81,140]; cell_height=60.24; num_pixels_in_box=1200; genealogy=3
	DIVISION

id=3; pid=-1; birth_frame=-1; daughter_type=CELL#4
	frame=0; pos_in_GL=[4,7]; pixel_limits=[125,173]; cell_height=48.00; num_pixels_in_box=980; genealogy=4
	frame=1; pos_in_GL=[4,7]; pixel_limits=[121,170]; cell_height=49.83; num_pixels_in_box=1000; genealogy=4
	DIVISION

id=4; pid=-1; birth_frame=-1; daughter_type=CELL#5
	frame=0; pos_in_GL=[3,7]; pixel_limits=[92,122]; cell_height=30.00; num_pixels_in_box=620; genealogy=5
	frame=1; pos_in_GL=[3,7]; pixel_limits=[88,119]; cell_height=31.00; num_pixels_in_box=640; genealogy=5
	frame=2; pos_in_GL=[3,8]; pixel_limits=[85,115]; cell_height=30.41; num_pixels_in_box=620; genealogy=5
