/scicore/home/nimwegen/GROUP/MM_Data/Guillaume/20170327_GW339_temp/20170327_GW339_Pos5/output/20170327_GW339_Pos5_GL21
GLidx = 0
numCells = 221
numChannels = 3
imageHeight = 413

glHeight = 337

trackRegionInterval = [50,386]
id=0; pid=-1; birth_frame=-1; daughter_type=CELL#1
	frame=0; pos_in_GL=[1,1]; pixel_limits=[33,97]; cell_height=69.80; num_pixels_in_box=1300; genealogy=1
	frame=1; pos_in_GL=[1,1]; pixel_limits=[32,98]; cell_height=69.31; num_pixels_in_box=1340; genealogy=1
	frame=2; pos_in_GL=[1,1]; pixel_limits=[32,98]; cell_height=69.31; num_pixels_in_box=1340; genealogy=1
	frame=3; pos_in_GL=[1,1]; pixel_limits=[33,99]; cell_height=70.14; num_pixels_in_box=1340; genealogy=1
	frame=4; pos_in_GL=[1,1]; pixel_limits=[32,100]; cell_height=70.49; num_pixels_in_box=1380; genealogy=1
	frame=5; pos_in_GL=[1,1]; pixel_limits=[32,101]; cell_height=72.31; num_pixels_in_box=1400; genealogy=1
	frame=6; pos_in_GL=[1,1]; pixel_limits=[32,103]; cell_height=75.97; num_pixels_in_box=1440; genealogy=1
	frame=7; pos_in_GL=[1,1]; pixel_limits=[31,104]; cell_height=76.31; num_pixels_in_box=1480; genealogy=1
	frame=8; pos_in_GL=[1,1]; pixel_limits=[31,106]; cell_height=79.97; num_pixels_in_box=1520; genealogy=1
	frame=9; pos_in_GL=[1,1]; pixel_limits=[31,107]; cell_height=76.83; num_pixels_in_box=1540; genealogy=1
	frame=10; pos_in_GL=[1,1]; pixel_limits=[30,109]; cell_height=79.00; num_pixels_in_box=1600; genealogy=1
	DIVISION

id=1; pid=0; birth_frame=11; daughter_type=BOTTOM
	frame=11; pos_in_GL=[2,2]; pixel_limits=[70,111]; cell_height=41.00; num_pixels_in_box=840; genealogy=1B
	frame=12; pos_in_GL=[2,2]; pixel_limits=[71,112]; cell_height=41.00; num_pixels_in_box=840; genealogy=1B
	frame=13; pos_in_GL=[2,2]; pixel_limits=[71,114]; cell_height=43.00; num_pixels_in_box=880; genealogy=1B
	frame=14; pos_in_GL=[2,2]; pixel_limits=[72,116]; cell_height=44.00; num_pixels_in_box=900; genealogy=1B
	frame=15; pos_in_GL=[2,2]; pixel_limits=[73,118]; cell_height=46.66; num_pixels_in_box=920; genealogy=1B
	frame=16; pos_in_GL=[2,2]; pixel_limits=[73,120]; cell_height=48.66; num_pixels_in_box=960; genealogy=1B
	frame=17; pos_in_GL=[2,2]; pixel_limits=[74,121]; cell_height=50.31; num_pixels_in_box=960; genealogy=1B
	frame=18; pos_in_GL=[2,2]; pixel_limits=[75,123]; cell_height=48.83; num_pixels_in_box=980; genealogy=1B
	frame=19; pos_in_GL=[2,2]; pixel_limits=[75,125]; cell_height=50.83; num_pixels_in_box=1020; genealogy=1B
	frame=20; pos_in_GL=[2,2]; pixel_limits=[76,127]; cell_height=53.49; num_pixels_in_box=1040; genealogy=1B
	frame=21; pos_in_GL=[2,2]; pixel_limits=[77,129]; cell_height=56.14; num_pixels_in_box=1060; genealogy=1B
	frame=22; pos_in_GL=[2,2]; pixel_limits=[78,132]; cell_height=55.66; num_pixels_in_box=1100; genealogy=1B
	frame=23; pos_in_GL=[2,2]; pixel_limits=[80,135]; cell_height=57.49; num_pixels_in_box=1120; genealogy=1B
	frame=24; pos_in_GL=[2,2]; pixel_limits=[83,141]; cell_height=59.66; num_pixels_in_box=1180; genealogy=1B
	frame=25; pos_in_GL=[2,2]; pixel_limits=[83,143]; cell_height=63.31; num_pixels_in_box=1220; genealogy=1B
	frame=26; pos_in_GL=[2,2]; pixel_limits=[83,143]; cell_height=60.83; num_pixels_in_box=1220; genealogy=1B
	frame=27; pos_in_GL=[2,2]; pixel_limits=[84,144]; cell_height=60.83; num_pixels_in_box=1220; genealogy=1B
	frame=28; pos_in_GL=[3,3]; pixel_limits=[83,144]; cell_height=62.66; num_pixels_in_box=1240; genealogy=1B
	frame=29; pos_in_GL=[3,3]; pixel_limits=[83,145]; cell_height=62.83; num_pixels_in_box=1260; genealogy=1B
	DIVISION

id=2; pid=0; birth_frame=11; daughter_type=TOP
	frame=11; pos_in_GL=[1,2]; pixel_limits=[31,68]; cell_height=37.00; num_pixels_in_box=760; genealogy=1T
	frame=12; pos_in_GL=[1,2]; pixel_limits=[31,69]; cell_height=38.00; num_pixels_in_box=780; genealogy=1T
	frame=13; pos_in_GL=[1,2]; pixel_limits=[31,69]; cell_height=38.00; num_pixels_in_box=780; genealogy=1T
	frame=14; pos_in_GL=[1,2]; pixel_limits=[30,70]; cell_height=40.83; num_pixels_in_box=820; genealogy=1T
	frame=15; pos_in_GL=[1,2]; pixel_limits=[30,71]; cell_height=41.83; num_pixels_in_box=840; genealogy=1T
	frame=16; pos_in_GL=[1,2]; pixel_limits=[30,71]; cell_height=41.83; num_pixels_in_box=840; genealogy=1T
	frame=17; pos_in_GL=[1,2]; pixel_limits=[29,72]; cell_height=44.66; num_pixels_in_box=880; genealogy=1T
	frame=18; pos_in_GL=[1,2]; pixel_limits=[29,73]; cell_height=45.66; num_pixels_in_box=900; genealogy=1T
	frame=19; pos_in_GL=[1,2]; pixel_limits=[29,73]; cell_height=45.66; num_pixels_in_box=900; genealogy=1T
	frame=20; pos_in_GL=[1,2]; pixel_limits=[29,74]; cell_height=45.83; num_pixels_in_box=920; genealogy=1T
	frame=21; pos_in_GL=[1,2]; pixel_limits=[28,75]; cell_height=50.31; num_pixels_in_box=960; genealogy=1T
	frame=22; pos_in_GL=[1,2]; pixel_limits=[27,76]; cell_height=50.66; num_pixels_in_box=1000; genealogy=1T
	frame=23; pos_in_GL=[1,2]; pixel_limits=[27,78]; cell_height=52.66; num_pixels_in_box=1040; genealogy=1T
	frame=24; pos_in_GL=[1,2]; pixel_limits=[25,81]; cell_height=58.49; num_pixels_in_box=1140; genealogy=1T
	frame=25; pos_in_GL=[1,2]; pixel_limits=[0,81]; cell_height=82.66; num_pixels_in_box=1640; genealogy=1T
	frame=26; pos_in_GL=[1,2]; pixel_limits=[0,81]; cell_height=83.49; num_pixels_in_box=1640; genealogy=1T
	frame=27; pos_in_GL=[1,2]; pixel_limits=[23,82]; cell_height=61.49; num_pixels_in_box=1200; genealogy=1T
	DIVISION

id=3; pid=2; birth_frame=28; daughter_type=BOTTOM
	frame=28; pos_in_GL=[2,3]; pixel_limits=[50,81]; cell_height=31.83; num_pixels_in_box=640; genealogy=1TB
	frame=29; pos_in_GL=[2,3]; pixel_limits=[50,81]; cell_height=33.49; num_pixels_in_box=640; genealogy=1TB
	frame=30; pos_in_GL=[2,4]; pixel_limits=[49,82]; cell_height=35.49; num_pixels_in_box=680; genealogy=1TB
	frame=31; pos_in_GL=[2,4]; pixel_limits=[49,82]; cell_height=34.66; num_pixels_in_box=680; genealogy=1TB
	frame=32; pos_in_GL=[2,4]; pixel_limits=[49,83]; cell_height=34.83; num_pixels_in_box=700; genealogy=1TB
	frame=33; pos_in_GL=[2,4]; pixel_limits=[49,84]; cell_height=37.49; num_pixels_in_box=720; genealogy=1TB
	frame=34; pos_in_GL=[2,4]; pixel_limits=[49,86]; cell_height=39.49; num_pixels_in_box=760; genealogy=1TB
	frame=35; pos_in_GL=[2,4]; pixel_limits=[49,87]; cell_height=40.49; num_pixels_in_box=780; genealogy=1TB
	frame=36; pos_in_GL=[2,4]; pixel_limits=[50,88]; cell_height=38.83; num_pixels_in_box=780; genealogy=1TB
	frame=37; pos_in_GL=[2,4]; pixel_limits=[50,89]; cell_height=40.66; num_pixels_in_box=800; genealogy=1TB
	frame=38; pos_in_GL=[2,4]; pixel_limits=[50,91]; cell_height=42.24; num_pixels_in_box=840; genealogy=1TB
	frame=39; pos_in_GL=[2,4]; pixel_limits=[51,94]; cell_height=46.31; num_pixels_in_box=880; genealogy=1TB
	frame=40; pos_in_GL=[2,4]; pixel_limits=[51,99]; cell_height=52.14; num_pixels_in_box=980; genealogy=1TB
	frame=41; pos_in_GL=[2,4]; pixel_limits=[52,104]; cell_height=53.66; num_pixels_in_box=1060; genealogy=1TB
	frame=42; pos_in_GL=[2,4]; pixel_limits=[52,100]; cell_height=49.66; num_pixels_in_box=980; genealogy=1TB
	frame=43; pos_in_GL=[2,4]; pixel_limits=[52,101]; cell_height=50.66; num_pixels_in_box=1000; genealogy=1TB
	frame=44; pos_in_GL=[2,4]; pixel_limits=[53,102]; cell_height=50.66; num_pixels_in_box=1000; genealogy=1TB
	frame=45; pos_in_GL=[2,4]; pixel_limits=[53,107]; cell_height=56.49; num_pixels_in_box=1100; genealogy=1TB
	frame=46; pos_in_GL=[2,4]; pixel_limits=[54,107]; cell_height=54.66; num_pixels_in_box=1080; genealogy=1TB
	frame=47; pos_in_GL=[2,4]; pixel_limits=[55,108]; cell_height=54.66; num_pixels_in_box=1080; genealogy=1TB
	frame=48; pos_in_GL=[2,4]; pixel_limits=[55,109]; cell_height=55.66; num_pixels_in_box=1100; genealogy=1TB
	frame=49; pos_in_GL=[2,4]; pixel_limits=[56,111]; cell_height=56.66; num_pixels_in_box=1120; genealogy=1TB
	frame=50; pos_in_GL=[2,4]; pixel_limits=[57,113]; cell_height=57.24; num_pixels_in_box=1140; genealogy=1TB
	frame=51; pos_in_GL=[2,4]; pixel_limits=[57,115]; cell_height=61.31; num_pixels_in_box=1180; genealogy=1TB
	frame=52; pos_in_GL=[2,4]; pixel_limits=[58,117]; cell_height=61.49; num_pixels_in_box=1200; genealogy=1TB
	frame=53; pos_in_GL=[2,4]; pixel_limits=[59,120]; cell_height=62.66; num_pixels_in_box=1240; genealogy=1TB
	frame=54; pos_in_GL=[2,4]; pixel_limits=[60,122]; cell_height=63.66; num_pixels_in_box=1260; genealogy=1TB
	frame=55; pos_in_GL=[2,4]; pixel_limits=[61,125]; cell_height=65.66; num_pixels_in_box=1300; genealogy=1TB
	frame=56; pos_in_GL=[2,4]; pixel_limits=[62,127]; cell_height=66.66; num_pixels_in_box=1320; genealogy=1TB
