/scicore/home/nimwegen/GROUP/MM_Data/Guillaume/20170327_GW339_temp/20170327_GW339_Pos4/output/20170327_GW339_Pos4_GL12
GLidx = 0
numCells = 245
numChannels = 3
imageHeight = 413

glHeight = 336

trackRegionInterval = [50,385]
id=0; pid=-1; birth_frame=-1; daughter_type=CELL#1
	frame=0; pos_in_GL=[7,7]; pixel_limits=[235,264]; cell_height=29.00; num_pixels_in_box=600; genealogy=1
	frame=1; pos_in_GL=[7,7]; pixel_limits=[235,264]; cell_height=29.00; num_pixels_in_box=600; genealogy=1
	frame=2; pos_in_GL=[8,8]; pixel_limits=[235,265]; cell_height=30.00; num_pixels_in_box=620; genealogy=1
	frame=3; pos_in_GL=[7,7]; pixel_limits=[235,266]; cell_height=31.00; num_pixels_in_box=640; genealogy=1
	frame=4; pos_in_GL=[7,7]; pixel_limits=[235,267]; cell_height=32.00; num_pixels_in_box=660; genealogy=1
	frame=5; pos_in_GL=[7,7]; pixel_limits=[235,267]; cell_height=32.00; num_pixels_in_box=660; genealogy=1
	frame=6; pos_in_GL=[8,8]; pixel_limits=[235,268]; cell_height=33.00; num_pixels_in_box=680; genealogy=1
	frame=7; pos_in_GL=[8,8]; pixel_limits=[235,269]; cell_height=34.00; num_pixels_in_box=700; genealogy=1
	frame=8; pos_in_GL=[7,7]; pixel_limits=[235,270]; cell_height=36.66; num_pixels_in_box=720; genealogy=1
	frame=9; pos_in_GL=[7,7]; pixel_limits=[235,271]; cell_height=36.00; num_pixels_in_box=740; genealogy=1
	frame=10; pos_in_GL=[7,7]; pixel_limits=[235,273]; cell_height=38.00; num_pixels_in_box=780; genealogy=1
	frame=11; pos_in_GL=[7,7]; pixel_limits=[235,274]; cell_height=39.00; num_pixels_in_box=800; genealogy=1
	frame=12; pos_in_GL=[7,7]; pixel_limits=[235,275]; cell_height=40.00; num_pixels_in_box=820; genealogy=1
	frame=13; pos_in_GL=[7,7]; pixel_limits=[235,277]; cell_height=42.00; num_pixels_in_box=860; genealogy=1
	frame=14; pos_in_GL=[7,7]; pixel_limits=[235,279]; cell_height=44.00; num_pixels_in_box=900; genealogy=1
	frame=15; pos_in_GL=[6,6]; pixel_limits=[235,280]; cell_height=45.00; num_pixels_in_box=920; genealogy=1
	frame=16; pos_in_GL=[7,7]; pixel_limits=[235,282]; cell_height=47.00; num_pixels_in_box=960; genealogy=1
	DIVISION

id=1; pid=-1; birth_frame=-1; daughter_type=CELL#2
