/scicore/home/nimwegen/GROUP/MM_Data/Guillaume/PreProcessed/20180709_GW296_glucose8aa37_1_MMStack/GrowthLanes/20180709_GW296_glucose8aa37_1_MMStack_Pos0/20180709_GW296_glucose8aa37_1_MMStack_Pos0_GL18
GLidx = 0
numCells = 414
numChannels = 2
imageHeight = 376

glHeight = 299

trackRegionInterval = [50,348]
id=0; pid=-1; birth_frame=-1; daughter_type=CELL#1
	frame=0; pos_in_GL=[8,8]; pixel_limits=[256,298]; num_pixels_in_box=860; genealogy=1
	frame=1; pos_in_GL=[8,8]; pixel_limits=[253,298]; num_pixels_in_box=920; genealogy=1
	frame=2; pos_in_GL=[7,7]; pixel_limits=[251,298]; num_pixels_in_box=960; genealogy=1
	frame=3; pos_in_GL=[7,7]; pixel_limits=[248,298]; num_pixels_in_box=1020; genealogy=1
	frame=4; pos_in_GL=[7,7]; pixel_limits=[246,298]; num_pixels_in_box=1060; genealogy=1
	DIVISION

id=1; pid=-1; birth_frame=-1; daughter_type=CELL#2
	frame=0; pos_in_GL=[7,8]; pixel_limits=[215,254]; num_pixels_in_box=800; genealogy=2
	frame=1; pos_in_GL=[7,8]; pixel_limits=[210,251]; num_pixels_in_box=840; genealogy=2
	frame=2; pos_in_GL=[6,7]; pixel_limits=[205,249]; num_pixels_in_box=900; genealogy=2
	frame=3; pos_in_GL=[6,7]; pixel_limits=[199,245]; num_pixels_in_box=940; genealogy=2
	frame=4; pos_in_GL=[6,7]; pixel_limits=[194,244]; num_pixels_in_box=1020; genealogy=2
	frame=5; pos_in_GL=[5,7]; pixel_limits=[187,241]; num_pixels_in_box=1100; genealogy=2
	frame=6; pos_in_GL=[5,7]; pixel_limits=[181,238]; num_pixels_in_box=1160; genealogy=2
	frame=7; pos_in_GL=[5,7]; pixel_limits=[174,233]; num_pixels_in_box=1200; genealogy=2
	frame=8; pos_in_GL=[5,7]; pixel_limits=[167,230]; num_pixels_in_box=1280; genealogy=2
	DIVISION

id=2; pid=-1; birth_frame=-1; daughter_type=CELL#3
	frame=0; pos_in_GL=[6,8]; pixel_limits=[182,213]; num_pixels_in_box=640; genealogy=3
	frame=1; pos_in_GL=[6,8]; pixel_limits=[176,208]; num_pixels_in_box=660; genealogy=3
	frame=2; pos_in_GL=[5,7]; pixel_limits=[169,203]; num_pixels_in_box=700; genealogy=3
	frame=3; pos_in_GL=[5,7]; pixel_limits=[161,197]; num_pixels_in_box=740; genealogy=3
	frame=4; pos_in_GL=[5,7]; pixel_limits=[155,192]; num_pixels_in_box=760; genealogy=3
	frame=5; pos_in_GL=[4,7]; pixel_limits=[146,185]; num_pixels_in_box=800; genealogy=3
	frame=6; pos_in_GL=[4,7]; pixel_limits=[138,179]; num_pixels_in_box=840; genealogy=3
	frame=7; pos_in_GL=[4,7]; pixel_limits=[129,172]; num_pixels_in_box=880; genealogy=3
	frame=8; pos_in_GL=[4,7]; pixel_limits=[120,165]; num_pixels_in_box=920; genealogy=3
	frame=9; pos_in_GL=[3,7]; pixel_limits=[116,163]; num_pixels_in_box=960; genealogy=3
	frame=10; pos_in_GL=[3,7]; pixel_limits=[104,156]; num_pixels_in_box=1060; genealogy=3
	frame=11; pos_in_GL=[3,7]; pixel_limits=[94,149]; num_pixels_in_box=1120; genealogy=3
	frame=12; pos_in_GL=[3,7]; pixel_limits=[84,142]; num_pixels_in_box=1180; genealogy=3
	frame=13; pos_in_GL=[2,6]; pixel_limits=[74,135]; num_pixels_in_box=1240; genealogy=3
	DIVISION

id=3; pid=-1; birth_frame=-1; daughter_type=CELL#4
	frame=0; pos_in_GL=[5,8]; pixel_limits=[153,180]; num_pixels_in_box=560; genealogy=4
	frame=1; pos_in_GL=[5,8]; pixel_limits=[144,174]; num_pixels_in_box=620; genealogy=4
	frame=2; pos_in_GL=[4,7]; pixel_limits=[136,167]; num_pixels_in_box=640; genealogy=4
	frame=3; pos_in_GL=[4,7]; pixel_limits=[125,159]; num_pixels_in_box=700; genealogy=4
