/scicore/home/nimwegen/GROUP/MM_Data/Guillaume/PreProcessed/20180709_GW296_glucose8aa37_1_MMStack/GrowthLanes/20180709_GW296_glucose8aa37_1_MMStack_Pos0/20180709_GW296_glucose8aa37_1_MMStack_Pos0_GL07
GLidx = 0
numCells = 444
numChannels = 2
imageHeight = 376

glHeight = 303

trackRegionInterval = [50,352]
id=0; pid=-1; birth_frame=-1; daughter_type=CELL#1
	frame=0; pos_in_GL=[8,8]; pixel_limits=[260,302]; cell_height=48.21; num_pixels_in_box=860; genealogy=1
	frame=1; pos_in_GL=[8,8]; pixel_limits=[260,302]; cell_height=45.73; num_pixels_in_box=860; genealogy=1
	frame=2; pos_in_GL=[7,7]; pixel_limits=[258,302]; cell_height=48.14; num_pixels_in_box=900; genealogy=1
	frame=3; pos_in_GL=[7,7]; pixel_limits=[264,302]; cell_height=40.90; num_pixels_in_box=780; genealogy=1
	frame=4; pos_in_GL=[9,9]; pixel_limits=[261,302]; cell_height=43.90; num_pixels_in_box=840; genealogy=1
	frame=5; pos_in_GL=[9,9]; pixel_limits=[258,302]; cell_height=48.14; num_pixels_in_box=900; genealogy=1
	frame=6; pos_in_GL=[8,8]; pixel_limits=[255,302]; cell_height=54.46; num_pixels_in_box=960; genealogy=1
	frame=7; pos_in_GL=[8,8]; pixel_limits=[250,302]; cell_height=58.21; num_pixels_in_box=1060; genealogy=1
	frame=8; pos_in_GL=[8,8]; pixel_limits=[248,302]; cell_height=60.63; num_pixels_in_box=1100; genealogy=1
	frame=9; pos_in_GL=[7,7]; pixel_limits=[245,302]; cell_height=64.46; num_pixels_in_box=1160; genealogy=1
	frame=10; pos_in_GL=[7,7]; pixel_limits=[241,302]; cell_height=68.46; num_pixels_in_box=1240; genealogy=1
	frame=11; pos_in_GL=[7,7]; pixel_limits=[239,302]; cell_height=70.46; num_pixels_in_box=1280; genealogy=1
	frame=12; pos_in_GL=[7,7]; pixel_limits=[235,302]; cell_height=74.46; num_pixels_in_box=1360; genealogy=1
	DIVISION

id=1; pid=-1; birth_frame=-1; daughter_type=CELL#2
	frame=0; pos_in_GL=[7,8]; pixel_limits=[238,258]; cell_height=22.07; num_pixels_in_box=420; genealogy=2
	frame=1; pos_in_GL=[7,8]; pixel_limits=[234,258]; cell_height=26.90; num_pixels_in_box=500; genealogy=2
	frame=2; pos_in_GL=[6,7]; pixel_limits=[231,256]; cell_height=28.31; num_pixels_in_box=520; genealogy=2
	frame=3; pos_in_GL=[6,7]; pixel_limits=[230,262]; cell_height=35.31; num_pixels_in_box=660; genealogy=2
	frame=4; pos_in_GL=[8,9]; pixel_limits=[227,259]; cell_height=34.90; num_pixels_in_box=660; genealogy=2
